,track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,intervals
7881,3fCqWsYPCPdLteUpeIOeyQ,Let's Wait Awhile,Janet Jackson,0.5920000000000001,0.188,1,-17.243,1,0.0377,0.82,0.0,0.132,0.37799999999999995,172.683,276689,-1
7882,3FCto7hnn1shUyZL42YgfO,Piano Man,Billy Joel,0.33399999999999996,0.47200000000000003,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,336093,-1
7883,3FdHgoJbH3DXNtGLh56pFu,Conga,Miami Sound Machine,0.789,0.655,2,-14.825,1,0.0474,0.16699999999999998,0.0409,0.0311,0.865,122.236,254000,-1
7884,3feSwo9dMR0sbvdPU02xbh,If You Wouldn't Mind,2nd Exit,0.7659999999999999,0.5920000000000001,5,-9.894,0,0.29600000000000004,0.6579999999999999,0.0068,0.105,0.833,179.985,238499,-1
7885,3FF0SMFxv6zHwNzl4WrhtR,We Stand as One,Wishbone Ash,0.49,0.7759999999999999,9,-7.367000000000001,1,0.033,0.000239,0.00911,0.0881,0.7090000000000001,160.05200000000005,255520,-2
7886,3fgcNEuhaTEF5HfOWzh3pV,Conteo - Remastered 2016,Don Omar,0.818,0.7070000000000001,7,-5.5470000000000015,0,0.226,0.16399999999999998,0.0,0.33,0.307,92.995,240027,-1
7887,3FGcQkWQlkeB82RdZwlw8V,Kiss You All Over,Exile,0.741,0.267,0,-17.204,1,0.0285,0.253,0.00044699999999999997,0.0987,0.4970000000000001,102.428,214400,-1
7888,3FGiFUJRRp5RGikVrs6kig,Underdog,Alicia Keys,0.655,0.722,0,-4.726,0,0.048,0.556,0.0,0.133,0.298,90.09899999999999,208208,-1
7889,3fGn4vhiwSZB6SabYaol81,So Seductive,Tony Yayo,0.569,0.8690000000000001,8,-3.3510000000000004,1,0.215,0.21600000000000005,0.0,0.0874,0.7070000000000001,96.07,209862,-1
7890,3FhJFkDNFoDc48O2x2gUfN,Back for Me,Electric Guest,0.723,0.645,4,-5.257999999999999,0,0.0278,0.0884,5.0900000000000004e-05,0.0565,0.557,133.031,201613,-1
7891,3fimYwkWOq8YoXnpRrmyU6,Spanish Galleon,Wun Two,0.708,0.3720000000000001,1,-12.720999999999998,1,0.114,0.903,0.9740000000000001,0.115,0.517,71.789,54656,-2
7892,3fJ6qG1m6zOFOo1HfU9Pxt,6 Minutes (feat. Lil' Wayne & Fabolous),Cassidy,0.4,0.963,1,-2.745,1,0.47,0.20800000000000002,2.89e-06,0.348,0.366,169.61,386573,-2
7893,3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,Linkin Park,0.451,0.951,1,-3.7539999999999996,1,0.0645,0.00037999999999999997,2.39e-06,0.261,0.442,162.065,213933,-2
7894,3FkTxVBsQHrwMh3IyfKO81,Dark Red,Steve Lacy,0.603,0.7829999999999999,6,-4.023,1,0.062,0.449,7.96e-06,0.11900000000000001,0.775,172.041,173104,-1
7895,3fLBmhcgWkPI47LfVQ8paB,Love and War,Tamar Braxton,0.27,0.58,8,-5.7170000000000005,0,0.039,0.469,0.0,0.34299999999999997,0.242,179.919,241920,-1
7896,3FmAUR4SPWa3P1KyDf21Fu,Roxanne - Remastered 2003,The Police,0.618,0.748,0,-8.905,1,0.361,0.0384,4.1e-06,0.0477,0.662,134.001,191500,-2
7897,3fmBFzP5khfnH8cyU6BAgl,The Court of the Crimson King,Steve Hackett,0.267,0.387,4,-10.315999999999999,0,0.0372,0.0439,0.0069700000000000005,0.742,0.0782,135.26,459600,-1
7898,3fMKnwiByu9yfeD5ISn9Et,Like I Used To,Tinashe,0.7170000000000001,0.599,11,-6.1560000000000015,1,0.115,0.5710000000000001,8.99e-06,0.102,0.385,159.78,187537,-1
7899,3fMNMAP51H7NywqzoukIRy,Numb,Carlie Hanson,0.8320000000000001,0.738,0,-4.417,1,0.0783,0.258,1.49e-05,0.22,0.49,127.874,133876,-1
7900,3FmSuz3ElwIPfqWoMWOzpq,Dangerous,No Friends,0.684,0.58,1,-9.947000000000001,1,0.14800000000000002,0.000479,0.00021600000000000002,0.113,0.212,123.954,194093,-2
7901,3fN3OQIymbXfYkCWIAycqo,Georgia Dome (Get Low Sequel),Ying Yang Twins,0.7340000000000001,0.69,1,-8.23,0,0.0351,0.0002,1.1599999999999999e-05,0.0951,0.6679999999999999,101.99799999999999,365360,-2
7902,3fNf71Ktya4CYMqGM6eRud,Stupid Girl,Garbage,0.634,0.7559999999999999,1,-4.81,0,0.0332,0.00251,0.00044100000000000004,0.0427,0.6609999999999999,119.948,258533,-1
7903,3FnLBRntvMISXApLyt4Sl8,Photomaton,Jabberwocky,0.768,0.568,0,-11.548,1,0.0489,0.655,0.0464,0.0906,0.62,101.00200000000001,280120,-1
7904,3fNnPoIaVT16aLZnswQdCV,Yo Se Que Tu Quieres (feat. Ñengo Flow),Sammy & Falsetto,0.627,0.7979999999999999,8,-4.746,0,0.11199999999999999,0.297,0.0,0.133,0.8959999999999999,180.051,208118,-1
7905,3FpEXAupLwCHwzeUBxF99S,i loved you first,joan,0.556,0.276,0,-9.603,1,0.0269,0.0862,6.89e-06,0.0999,0.21600000000000005,75.02,227068,-2
7906,3FPiGFT19WRb4D0bZlw9PJ,You Took My Heart Away - 2014 Remastered Version,Michael Learns To Rock,0.58,0.41700000000000004,6,-9.357000000000001,0,0.0272,0.184,0.0,0.113,0.12,120.9,272000,-1
7907,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,-1
7908,3fS0GCbLTLK59MYn7HYMNi,Y'all Ain't Ready (feat. 2 Chainz),Mike WiLL Made-It,0.759,0.705,1,-5.21,1,0.223,0.00806,0.0,0.889,0.15,140.048,222657,-2
7909,3FS2e59gXFXrcg7sN2mL5z,Shots & Squats,Vigiland,0.818,0.8190000000000001,1,-5.052,1,0.11599999999999999,0.00824,0.000392,0.225,0.27899999999999997,128.02,171799,-1
7910,3fsalArvHxFixTCmxqLreg,Fanfare (feat. Guè Pequeno),Elettra Lamborghini,0.7070000000000001,0.89,0,-3.234,0,0.0725,0.0172,0.0,0.177,0.938,101.029,180594,-2
7911,3FsBtu3gdlfZjBLXyDvmj1,The Night We Met,Lord Huron,0.441,0.369,2,-9.644,1,0.046,0.968,0.207,0.6409999999999999,0.115,174.15200000000004,206933,-2
7912,3FskQrDXcY24ur2fCvz35O,Ye,Burna Boy,0.503,0.5920000000000001,5,-5.922999999999999,0,0.444,0.0181,0.00014,0.16899999999999998,0.344,201.85,231618,-1
7913,3FSPaBp49Clqq2p4zc9dbA,Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.00046399999999999995,0.0986,0.201,107.98899999999999,258987,-2
7914,3FsPxHAATCITLHZZVIa7Us,Humpin' Around - Radio Edit,Bobby Brown,0.746,0.804,10,-7.1670000000000025,0,0.0424,0.00618,0.02,0.0536,0.662,110.07,322000,-1
